,Unnamed: 0,Id,MSSubClass,MSZoning,LotFrontage,LotArea,Alley,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,BldgType,HouseStyle,OverallQual,OverallCond,RoofStyle,Exterior1st,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,BsmtUnfSF,TotalBsmtSF,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,GrLivArea,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,Fence,YrSold,SaleType,SaleCondition,SalePrice,MixedExterior,TotalBath,HouseAge,YrSinceRemod,Remodeled,SeasonSold,TotalSF,NewHouse
0,0,1,60,RL,65.0,8450,None,Reg,Lvl,Inside,Gtl,CollgCr,Norm,1Fam,2Story,7,5,Gable,VinylSd,BrkFace,196.0,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,150,856,Ex,Y,SBrkr,856,854,1710,3,1,Gd,8,Typ,0,None,Attchd,2003.0,RFn,2,548,TA,Y,0,61,0,None,2008,WD,Normal,208500,1,3.5,5,5,True,Winter,2566,0
1,1,2,20,RL,80.0,9600,None,Reg,Lvl,FR2,Gtl,Veenker,Feedr,1Fam,1Story,6,8,Gable,MetalSd,None,0.0,TA,TA,CBlock,Gd,TA,Gd,ALQ,Unf,284,1262,Ex,Y,SBrkr,1262,0,1262,3,1,TA,6,Typ,1,TA,Attchd,1976.0,RFn,2,460,TA,Y,298,0,0,None,2007,WD,Normal,181500,1,2.5,31,31,True,Spring,2524,0
2,2,3,60,RL,68.0,11250,None,IR1,Lvl,Inside,Gtl,CollgCr,Norm,1Fam,2Story,7,5,Gable,VinylSd,BrkFace,162.0,Gd,TA,PConc,Gd,TA,Mn,GLQ,Unf,434,920,Ex,Y,SBrkr,920,866,1786,3,1,Gd,6,Typ,1,TA,Attchd,2001.0,RFn,2,608,TA,Y,0,42,0,None,2008,WD,Normal,223500,1,3.5,7,6,False,Fall,2706,0
3,3,4,70,RL,60.0,9550,None,IR1,Lvl,Corner,Gtl,Crawfor,Norm,1Fam,2Story,7,5,Gable,Wd Sdng,None,0.0,TA,TA,BrkTil,TA,Gd,No,ALQ,Unf,540,756,Gd,Y,SBrkr,961,756,1717,3,1,Gd,7,Typ,1,Gd,Detchd,1998.0,Unf,3,642,TA,Y,0,35,1,None,2006,WD,Other,140000,0,2.0,91,36,False,Winter,2473,0
4,4,5,60,RL,84.0,14260,None,IR1,Lvl,FR2,Gtl,NoRidge,Norm,1Fam,2Story,8,5,Gable,VinylSd,BrkFace,350.0,Gd,TA,PConc,Gd,TA,Av,GLQ,Unf,490,1145,Ex,Y,SBrkr,1145,1053,2198,4,1,Gd,9,Typ,1,TA,Attchd,2000.0,RFn,3,836,TA,Y,192,84,0,None,2008,WD,Normal,250000,1,3.5,8,8,True,Winter,3343,0
5,5,6,50,RL,85.0,14115,None,IR1,Lvl,Inside,Gtl,Mitchel,Norm,1Fam,1.5Fin,5,5,Gable,VinylSd,None,0.0,TA,TA,Wood,Gd,TA,No,GLQ,Unf,64,796,Ex,Y,SBrkr,796,566,1362,1,1,TA,5,Typ,0,None,Attchd,1993.0,Unf,2,480,TA,Y,40,30,0,MnPrv,2009,WD,Normal,143000,1,2.5,16,14,False,Fall,2158,0
6,6,7,20,RL,75.0,10084,None,Reg,Lvl,Inside,Gtl,Somerst,Norm,1Fam,1Story,8,5,Gable,VinylSd,Stone,186.0,Gd,TA,PConc,Ex,TA,Av,GLQ,Unf,317,1686,Ex,Y,SBrkr,1694,0,1694,3,1,Gd,7,Typ,1,Gd,Attchd,2004.0,RFn,2,636,TA,Y,255,57,0,None,2007,WD,Normal,307000,1,3.0,3,2,False,Summer,3380,0
7,7,8,60,RL,80.0,10382,None,IR1,Lvl,Corner,Gtl,NWAmes,PosN,1Fam,2Story,7,6,Gable,HdBoard,Stone,240.0,TA,TA,CBlock,Gd,TA,Mn,ALQ,BLQ,216,1107,Ex,Y,SBrkr,1107,983,2090,3,1,TA,7,Typ,2,TA,Attchd,1973.0,RFn,2,484,TA,Y,235,204,1,None,2009,WD,Normal,200000,1,3.5,36,36,True,Fall,3197,0
8,8,9,50,RM,51.0,6120,None,Reg,Lvl,Inside,Gtl,OldTown,Artery,1Fam,1.5Fin,7,5,Gable,BrkFace,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,Unf,952,952,Gd,Y,FuseF,1022,752,1774,2,0,TA,8,Min1,2,TA,Detchd,1931.0,Unf,2,468,Other,Y,90,0,1,None,2008,WD,Other,129900,0,2.0,77,58,False,Spring,2726,0
9,9,10,190,RL,50.0,7420,None,Reg,Lvl,Corner,Gtl,BrkSide,Artery,2fmCon,1.5Unf,5,6,Gable,MetalSd,None,0.0,TA,TA,BrkTil,TA,TA,No,GLQ,Unf,140,991,Ex,Y,SBrkr,1077,0,1077,2,0,TA,5,Typ,2,TA,Attchd,1939.0,RFn,1,205,Other,Y,0,4,0,None,2008,WD,Normal,118000,1,2.0,69,58,False,Winter,2068,0
10,10,11,20,RL,70.0,11200,None,Reg,Lvl,Inside,Gtl,Sawyer,Norm,1Fam,1Story,5,5,Hip,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,Unf,134,1040,Ex,Y,SBrkr,1040,0,1040,3,1,TA,5,Typ,0,None,Detchd,1965.0,Unf,1,384,TA,Y,0,0,0,None,2008,WD,Normal,129500,1,2.0,43,43,True,Winter,2080,0
11,11,12,60,RL,85.0,11924,None,IR1,Lvl,Inside,Gtl,NridgHt,Norm,1Fam,2Story,9,5,Hip,WdShing,Stone,286.0,Ex,TA,PConc,Ex,TA,No,GLQ,Unf,177,1175,Ex,Y,SBrkr,1182,1142,2324,4,1,Ex,11,Typ,2,Gd,BuiltIn,2005.0,Fin,3,736,TA,Y,147,21,0,None,2006,New,Partial,345000,0,4.0,1,0,False,Summer,3499,1
